,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,popularity,album_release_date,vibe,track_uri,artist_uri,genres
5659,Ashley Monroe,Like a Rose,Weed Instead of Roses,4VErYdXTSbt5pGa9eZwUFA,0.574,0.84,7,-4.267,1,0.0414,0.0,0.3,0.896,158.831,199923,4,0.348,42,3/5/13,chill,4VErYdXTSbt5pGa9eZwUFA,37BiX28I6pF104F92U1hDP,contemporary country
5660,Ashley Monroe,Like a Rose,Weed Instead of Roses,4VErYdXTSbt5pGa9eZwUFA,0.574,0.84,7,-4.267,1,0.0414,0.0,0.3,0.896,158.831,199923,4,0.348,42,3/5/13,chill,4VErYdXTSbt5pGa9eZwUFA,37BiX28I6pF104F92U1hDP,country dawn
5661,Ashley Monroe,Like a Rose,Weed Instead of Roses,4VErYdXTSbt5pGa9eZwUFA,0.574,0.84,7,-4.267,1,0.0414,0.0,0.3,0.896,158.831,199923,4,0.348,42,3/5/13,chill,4VErYdXTSbt5pGa9eZwUFA,37BiX28I6pF104F92U1hDP,kentucky roots
5662,Jimmie Allen,Tulip Drive,be alright,3dpkmgWLr1g3rckqY4Vdrk,0.541,0.624,1,-4.822,1,0.0358,0.0,0.0949,0.505,170.018,174733,4,0.363,50,6/24/22,chill,3dpkmgWLr1g3rckqY4Vdrk,147nKr9upHZSSxqCzh9j7c,black americana
5663,Jimmie Allen,Tulip Drive,be alright,3dpkmgWLr1g3rckqY4Vdrk,0.541,0.624,1,-4.822,1,0.0358,0.0,0.0949,0.505,170.018,174733,4,0.363,50,6/24/22,chill,3dpkmgWLr1g3rckqY4Vdrk,147nKr9upHZSSxqCzh9j7c,contemporary country
5664,Jimmie Allen,Tulip Drive,be alright,3dpkmgWLr1g3rckqY4Vdrk,0.541,0.624,1,-4.822,1,0.0358,0.0,0.0949,0.505,170.018,174733,4,0.363,50,6/24/22,chill,3dpkmgWLr1g3rckqY4Vdrk,147nKr9upHZSSxqCzh9j7c,country road
5665,Jimmie Allen,Tulip Drive,be alright,3dpkmgWLr1g3rckqY4Vdrk,0.541,0.624,1,-4.822,1,0.0358,0.0,0.0949,0.505,170.018,174733,4,0.363,50,6/24/22,chill,3dpkmgWLr1g3rckqY4Vdrk,147nKr9upHZSSxqCzh9j7c,modern country rock
5666,North Mississippi Allstars,Up and Rolling,Up and Rolling,3DV89v9FL64amLAczhsLsN,0.808,0.532,2,-7.472,1,0.025,0.00422,0.122,0.816,89.934,303920,4,0.543,28,8/2/19,chill,3DV89v9FL64amLAczhsLsN,714osTgzZrkyf3SGjggpfY,jam band
5667,North Mississippi Allstars,Up and Rolling,Up and Rolling,3DV89v9FL64amLAczhsLsN,0.808,0.532,2,-7.472,1,0.025,0.00422,0.122,0.816,89.934,303920,4,0.543,28,8/2/19,chill,3DV89v9FL64amLAczhsLsN,714osTgzZrkyf3SGjggpfY,modern blues
5668,North Mississippi Allstars,Up and Rolling,Up and Rolling,3DV89v9FL64amLAczhsLsN,0.808,0.532,2,-7.472,1,0.025,0.00422,0.122,0.816,89.934,303920,4,0.543,28,8/2/19,chill,3DV89v9FL64amLAczhsLsN,714osTgzZrkyf3SGjggpfY,modern blues rock
5669,North Mississippi Allstars,Up and Rolling,Up and Rolling,3DV89v9FL64amLAczhsLsN,0.808,0.532,2,-7.472,1,0.025,0.00422,0.122,0.816,89.934,303920,4,0.543,28,8/2/19,chill,3DV89v9FL64amLAczhsLsN,714osTgzZrkyf3SGjggpfY,southern rock
5670,Robert Earl Keen,West Textures,The Road Goes On Forever,0UgCiz5n2p2S7BKrFqCXEj,0.618,0.449,2,-14.333,1,0.0304,0.0,0.124,0.695,108.378,303000,4,0.239,50,1989,chill,0UgCiz5n2p2S7BKrFqCXEj,1jjpkAHC8bd9fRFfgKyYLP,classic texas country
5671,Robert Earl Keen,West Textures,The Road Goes On Forever,0UgCiz5n2p2S7BKrFqCXEj,0.618,0.449,2,-14.333,1,0.0304,0.0,0.124,0.695,108.378,303000,4,0.239,50,1989,chill,0UgCiz5n2p2S7BKrFqCXEj,1jjpkAHC8bd9fRFfgKyYLP,outlaw country
5672,Robert Earl Keen,West Textures,The Road Goes On Forever,0UgCiz5n2p2S7BKrFqCXEj,0.618,0.449,2,-14.333,1,0.0304,0.0,0.124,0.695,108.378,303000,4,0.239,50,1989,chill,0UgCiz5n2p2S7BKrFqCXEj,1jjpkAHC8bd9fRFfgKyYLP,texas country
5673,Toby Keith,Shock 'N Y'all,Weed With Willie,7vf8kqdPc8wpKja6iqfuzi,0.309,0.54,7,-9.881,1,0.0463,0.0,0.982,0.411,182.318,243707,3,0.654,48,11/4/03,chill,7vf8kqdPc8wpKja6iqfuzi,2bA6fzP0lMAQ4kz6CF61w8,classic oklahoma country
5674,Toby Keith,Shock 'N Y'all,Weed With Willie,7vf8kqdPc8wpKja6iqfuzi,0.309,0.54,7,-9.881,1,0.0463,0.0,0.982,0.411,182.318,243707,3,0.654,48,11/4/03,chill,7vf8kqdPc8wpKja6iqfuzi,2bA6fzP0lMAQ4kz6CF61w8,contemporary country
5675,Toby Keith,Shock 'N Y'all,Weed With Willie,7vf8kqdPc8wpKja6iqfuzi,0.309,0.54,7,-9.881,1,0.0463,0.0,0.982,0.411,182.318,243707,3,0.654,48,11/4/03,chill,7vf8kqdPc8wpKja6iqfuzi,2bA6fzP0lMAQ4kz6CF61w8,country
5676,Toby Keith,Shock 'N Y'all,Weed With Willie,7vf8kqdPc8wpKja6iqfuzi,0.309,0.54,7,-9.881,1,0.0463,0.0,0.982,0.411,182.318,243707,3,0.654,48,11/4/03,chill,7vf8kqdPc8wpKja6iqfuzi,2bA6fzP0lMAQ4kz6CF61w8,country road
5677,Jason Nix,Mary Wanna,Mary Wanna,4WmvcM6v7pfQ4dauJDjya2,0.578,0.889,0,-4.255,1,0.046,0.0,0.0964,0.608,154.08,176911,4,0.133,23,5/20/22,chill,4WmvcM6v7pfQ4dauJDjya2,168GW0NjbTxHxlDnY4B798,
5678,Kyle Daniel,A Friend With Weed,A Friend With Weed,6NaIoL9AXmj7Lirhaxyplw,0.537,0.856,2,-4.993,1,0.0688,0.0,0.371,0.648,90.974,178036,4,0.011,28,4/19/19,chill,6NaIoL9AXmj7Lirhaxyplw,1sMZfMdtizSlYjtZgQFXaz,
5679,Ryan Hurd,Pelago,Pass It On,4NPQb5305qkdRARfAEaOle,0.709,0.692,7,-5.489,1,0.052,0.0,0.293,0.785,76.992,179107,4,0.163,45,10/15/21,chill,4NPQb5305qkdRARfAEaOle,7lDVEkjIURPMyUYwoQRrpw,contemporary country
5680,Ryan Hurd,Pelago,Pass It On,4NPQb5305qkdRARfAEaOle,0.709,0.692,7,-5.489,1,0.052,0.0,0.293,0.785,76.992,179107,4,0.163,45,10/15/21,chill,4NPQb5305qkdRARfAEaOle,7lDVEkjIURPMyUYwoQRrpw,country road
