track_uri,popularity,danceability,energy,loudness,valence,speechiness,instrumentalness,tempo
2pRNMwZ4lmmXBQRjytMyi2,42,0.48,0.31,-15.418,0.146,0.0439,0.218,109.982
0A1JLUlkZkp2EFrosoNQi0,77,0.406,0.306,-15.48,0.122,0.0517,0.488,110.014
0Oj0TT23GBH2XuHAaSsloH,63,0.41,0.361,-14.061,0.134,0.0351,0.000174,120.0
7JSR685hpFDqvTSNHeSKjL,36,0.503,0.389,-9.096,0.327,0.0304,0.0271,105.823
2gSNBigeWMVtY3QBIvPAEc,65,0.787,0.889,-3.786,0.394,0.0397,0.423,114.091
0HZhYMZOcUzZKSFwPOti6m,74,0.349,0.348,-6.142,0.0886,0.0316,0.0,74.541
4zXOUCBRI3DcPboKXZeFu5,41,0.664,0.335,-7.336,0.237,0.0281,0.0,144.967
5JGdpqo9wrRtOZtui5GShI,61,0.4,0.563,-10.233,0.442,0.0307,0.0,138.006
3lPZhvbcNDZIxZH8IB6wmc,23,0.532,0.544,-6.25,0.421,0.0245,0.0119,136.954
3JvKfv6T31zO0ini8iNItO,92,0.445,0.537,-8.532,0.131,0.04,1.65e-05,122.769
7LOYcC6phKAVOckgmVZJJT,56,0.821,0.379,-15.489,0.914,0.0334,0.0,109.123
1LvU6IFqQnXOIwJyBDb2io,69,0.752,0.679,-6.453,0.704,0.0391,0.0,127.945
0VNzEY1G4GLqcNx5qaaTl6,70,0.419,0.085,-19.387,0.458,0.0362,5.33e-06,91.509
5Anh8jULgeUgciLHCR25Mk,63,0.606,0.226,-10.617,0.142,0.0347,0.0001,122.711
7dQC53NiYOY9gKg3Qsu2Bs,72,0.513,0.262,-16.875,0.357,0.0276,5.51e-06,108.383
1EzrEOXmMH3G43AXT1y7pA,81,0.703,0.444,-9.331,0.712,0.0417,0.0,150.96
1MaqkdFNIKPdpQGDzme5ss,66,0.521,0.702,-5.189,0.25,0.0331,0.0,127.976
5CPhJCZQVAX3lkvTXgH1xD,41,0.274,0.0857,-16.055,0.132,0.0321,1.29e-05,96.276
5wANPM4fQCJwkGd4rN57mH,86,0.561,0.431,-8.81,0.137,0.0578,1.42e-05,143.875
38zsOOcu31XbbYj9BIPUF1,81,0.554,0.315,-11.028,0.325,0.0298,5.53e-06,128.157
37mbA1RwYja7WFaIOzSczX,59,0.487,0.611,-8.757,0.621,0.0389,0.00104,187.56
55wl56WlKI85UBNZoFxe9P,64,0.583,0.313,-14.36,0.346,0.0256,0.0,96.717
0iWCpaSaiIZVPSqjZ9YB5L,57,0.516,0.888,-4.715,0.327,0.0417,0.0,114.028
77sMIMlNaSURUAXq5coCxE,79,0.569,0.741,-4.963,0.43,0.0282,0.0,100.118
6mIY6O7uNGgVqOoX70UAYh,66,0.523,0.366,-14.069,0.291,0.0331,0.0,142.814
3nqqDo8CcCLke3ZoTgiOKf,76,0.605,0.629,-5.051,0.308,0.0279,0.0,99.894
32RxZnEk5KyWUTZR4azxbD,61,0.313,0.275,-12.501,0.148,0.0326,0.0003,124.085
6G41H0Zd0kQ1WXWDoEotoJ,59,0.728,0.454,-9.281,0.323,0.0278,1.39e-06,130.368
6nq7VHJQOmFcqVqaeKmsDr,41,0.423,0.548,-6.742,0.398,0.0278,0.0,141.062
789CxjEOtO76BVD1A9yJQH,74,0.621,0.31,-10.164,0.125,0.0283,6.12e-05,111.893
3UMrglJeju5yWyYIW6o99b,81,0.573,0.741,-8.987,0.554,0.0353,2.23e-05,96.016
1ZMiCix7XSAbfAJlEZWMCp,84,0.567,0.267,-6.502,0.0592,0.0299,1.46e-06,110.011
67HKtdqchK0rmODxsBeWT8,61,0.297,0.364,-9.261,0.149,0.0305,0.000761,122.598
5Vgx4jtn7Xf7KEIogHIcCZ,48,0.583,0.301,-10.598,0.337,0.0243,0.0,79.364
3eRLKD1Lgc2OrYGxRxX62s,48,0.208,0.342,-8.702,0.135,0.0327,3e-06,186.162
