,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,popularity,album_release_date,vibe
1897,Holly Jones,for you,for you,7ex04ig5hEOizRLHLGlLO7,0.328,0.00758,10,-26.281,1,0.039,0.937,0.109,0.151,92.095,174866,4,0.988,63,1/6/23,chill
1898,like gentle rain,in a room full of you,in a room full of you,0BZLKyvqypWnn5kfysaNPt,0.446,0.018,8,-27.431,1,0.0436,0.937,0.0651,0.2,111.725,192817,4,0.995,63,12/12/22,chill
1899,Bodi Lukasz,Handmade,Handmade,5TQcYO4moNRTTrtM5Frj30,0.499,0.033,2,-28.101,1,0.0398,0.947,0.0946,0.236,94.543,137250,4,0.993,63,1/13/23,chill
1900,Sarah Keen,Mist,Mist,1FxrWXRLIi0aUDlTQNLQZY,0.516,0.0267,11,-30.229,1,0.0461,0.899,0.0963,0.378,110.636,122698,4,0.992,63,9/9/22,chill
1901,Kylian Rebour,Hand in Hand,Hand in Hand,23yqVbpiJoMHTs0RX4aPE7,0.616,0.0148,8,-30.179,1,0.069,0.964,0.113,0.361,89.902,108023,3,0.992,63,2/3/23,chill
1902,Gente di Toscana,Monte Viso,Monte Viso,2PPYHVE2EqwC8GASDE5Qzi,0.464,0.032,1,-28.106,1,0.056,0.954,0.109,0.208,69.306,95734,4,0.983,63,11/11/22,chill
1903,Li Zemin,Inside 内,Inside 内,1fFH5FN5xZx2WT2dBXm4qx,0.283,0.0329,1,-28.74,1,0.0341,0.899,0.109,0.192,139.106,116719,3,0.975,63,1/6/23,chill
1904,Igulfrid,Hideaway,Hideaway,2HwCcCi8Up9NECNBRt0yTV,0.356,0.0186,9,-26.729,1,0.042,0.929,0.0996,0.154,84.753,148907,4,0.991,63,4/15/22,chill
1905,Stephan Neudorf,Winterwald,Winterwald,2m7XqU0gRlcPasjZCKvp6f,0.499,0.0682,0,-25.339,0,0.0769,0.97,0.119,0.636,94.127,131238,4,0.995,62,1/6/23,chill
1906,Sounds from a Box,Berceuse,Berceuse,6tw5ZIanXzO4ufu4abt7Vn,0.402,0.0185,2,-30.302,0,0.0393,0.937,0.106,0.237,67.394,151750,3,0.994,64,12/19/22,chill
1907,Anton Byers,Smiles Awake You When You Rise,Smiles Awake You When You Rise,0W73eBalLv7GGi8YeWEXd1,0.532,0.023,5,-24.604,1,0.0523,0.935,0.11,0.189,80.492,194027,4,0.989,60,3/31/23,chill
