,track_uri,artist_uri,genres
604,2r008pcfVYc0zgQvSRqUJE,01W8kYNqFHyKicPfR0pLwO,mellow gold
604,2r008pcfVYc0zgQvSRqUJE,01W8kYNqFHyKicPfR0pLwO,soft rock
605,4i4WsUvJEgB4V6AyONAJe8,1KGcdM5KxCVydaHe29QAj9,modern alternative pop
606,7Jpclr7tZ6aQXjoKzWXUJV,6OheJTrDFGiyZ67F1BBLhc,classic country pop
606,7Jpclr7tZ6aQXjoKzWXUJV,6OheJTrDFGiyZ67F1BBLhc,country
606,7Jpclr7tZ6aQXjoKzWXUJV,6OheJTrDFGiyZ67F1BBLhc,country rock
606,7Jpclr7tZ6aQXjoKzWXUJV,6OheJTrDFGiyZ67F1BBLhc,soft rock
607,6d3edMXJpns1A0zGKkmlGw,6xfqnpe2HnLVUaYXs2F8YS,hollywood
608,2QTDuJIGKUjR7E2Q6KupIh,3EAHF3jdnHHdko5DBrhRUP,british soundtrack
608,2QTDuJIGKUjR7E2Q6KupIh,3EAHF3jdnHHdko5DBrhRUP,orchestral soundtrack
608,2QTDuJIGKUjR7E2Q6KupIh,3EAHF3jdnHHdko5DBrhRUP,soundtrack
609,7rGOWzo4evAQQ2FzrSKp0B,2GF1B0GIaFrLFLdfH6ufRO,classic girl group
609,7rGOWzo4evAQQ2FzrSKp0B,2GF1B0GIaFrLFLdfH6ufRO,northern soul
610,6pCd2zvhmjzIUVX0fKqqe4,2O0Hw1WSMbskB5tD9aWah3,classic soul
610,6pCd2zvhmjzIUVX0fKqqe4,2O0Hw1WSMbskB5tD9aWah3,disco
610,6pCd2zvhmjzIUVX0fKqqe4,2O0Hw1WSMbskB5tD9aWah3,funk
610,6pCd2zvhmjzIUVX0fKqqe4,2O0Hw1WSMbskB5tD9aWah3,motown
610,6pCd2zvhmjzIUVX0fKqqe4,2O0Hw1WSMbskB5tD9aWah3,philly soul
610,6pCd2zvhmjzIUVX0fKqqe4,2O0Hw1WSMbskB5tD9aWah3,quiet storm
610,6pCd2zvhmjzIUVX0fKqqe4,2O0Hw1WSMbskB5tD9aWah3,soul
611,2pXpURmn6zC5ZYDMms6fwa,5v8jlSmAQfrkTjAlpUfWtu,adult standards
611,2pXpURmn6zC5ZYDMms6fwa,5v8jlSmAQfrkTjAlpUfWtu,easy listening
612,3PzsbWSQdLCKDLxn7YZfkM,3eqjTLE0HfPfh78zjh6TqT,heartland rock
612,3PzsbWSQdLCKDLxn7YZfkM,3eqjTLE0HfPfh78zjh6TqT,mellow gold
612,3PzsbWSQdLCKDLxn7YZfkM,3eqjTLE0HfPfh78zjh6TqT,permanent wave
